Item,Enc,Price,Rarity,"Description, Special",Book
Backpack,--,50,0,Worn satchel for holding gear; adds 4 to Encumbrance Threshold,Core
Modular Backpack,--,75,1,Backpack with separate pouches; adds 3 to Encumbrance Threshold,"EU, SS"
Spacer's Duffel,--,50,0,Large shoulder bag; adds 2 to Encumbrance Threshold; Cumbersome 3,EU
Military Pack,--,60,0,Large backpack; adds 6 to Encumbrance Threshold; Cumbersome 2,DC
Load Bearing Gear,--,100,3,Worn system for carrying gear; adds 3 to Encumbrance Threshold,A
Utility Belt,--,25,0,Worn belt with pouches for storage; adds 1 to Encumbrance Threshold,Core
Modular Backpack Pouch,--,15,1,"Adds 1 to Encumbrance Threshold of the modular backpack, up to +3","EU, SS"
Military Belt Pouch,--,10,0,"Worn on belt; holds two 0 Enc items, Incidental to access",DC
Military Modular Backpack Frame,--,10,2,"backpack frame with room for two modules: temperature control unit, power unit, comms unit, sensor unit, oxygen unit, storage unit - each unit has its own price, Rarity, and Encumbrance ratings and functions",FB
Wizard Pouch,--,50,4,Worn; adds 1 to Encumbrance Threshold,NP
Surveyor's Bag,--,50,1,Shoulder bag; adds 2 to Encumbrance Threshold,EU
Holster/Sheath,--,20,1,Standard holster for pistols or sheath for melee weaons of any size; reduces Encumbrance of weapon by 2 while holstered/sheathed,gm rdl
Quick-Draw Holster,--,60,3,Custom-made holster that allows quick weapon drawing; Quick Draw (T); reduces Encumbrance of weapon by 2 while holstered/sheathed,gm rdl
Concealment Holster/Sheath,--,40,3,Compact holster/sheath to conceal small pistols or blades; ■ to Perception to detect,DC
Breath Mask and Respirator,1,25,1,Allows breathing in contaminated or alien enviroments,Core
A99 Aquata Breather,0,100,7,Allows amphibious operation,KP
Mon Cal Organic Gill,1,200,5,Allows amphibious operation,SR
Space Suit,4,100,1,Allows survival in the vacuum of space,Core
EVA Powersuit,12,"1,500",7,Powered space suit with built-in tools and movement thrusters,SF
Glow Rod,1,10,0,Hand-held uni-directional light source,Core
Fusion Lantern,2,150,2,"A source of light and heat, can also power small devices",Core
Field Goggles,0,5,0,"Worn, protects the eyes",DC
Tent,4,100-300,1,Suitable for up to six occupants depending on model,Core
"Tent, One-Man",3,30,2,"Suitable for one occupant, features integrated heater",DC
Alliance Plastent,3,300,2,4-person tent; removes ■■ to resist hostile environments and downgrades,FB
Portable Survival Shelter,2,200,4,"Suitable for one occupant, features weather and environment survivability",EU
Extra Weapon Reloads,1,25,1,Reload for a weapon; a Maneuver to reload,Core
Extra Power Pack,1,25,1,Replacement energy source for devices; a Maneuver to replace,Core
Water Purifier,1,50,2,Purifies one person's daily need of water,SS
Condenser Unit,2,300,2,gathers water from the air for one person for one day,FB
Canteen,1,7,1,"Liquid container, features a filtration system to purify water",DC
Survivalist Mess Kit,0,10,3,"Pots, pans, plate, cup, utensils in one compact unit",SS
Food Prep System,3,20,1,A small field stove for cooking,DC
Flashfire Camp Stove,2,60,4,"Kit containing tools, burner, multi-use can for cooking",SS
Field Kitchen,5,500,4,"Kit containing tools, stoves, datapad, and other equipment for cooking",EU
Crash Survival Kit,5,300,2,A kit containing a variety of items to help ensure survival after a crash,"E, A"
Wilderness Survival Kit,5,350,2,A kit containing a variety of items to help ensure survival in the wilderness,F
Disaster Relief Kit,2,250,2,Sustains basic needs of four individuals for up to a week to ten days,EV
Fire Paste,0,3,1,Flammable putty with an integrated igniter,DC
Gravity Belt,--,500,6,???,SF
Camouflage Netting,4,100,2,A roll of netting to conceal objects; +2 Failures to detect object concealed,DC
Camouflage Paint,0,40,2,Paint used to conceal objects; +1 Failure to detect object concealed,DC
Electro-Snare,1,50,5,Stun trap for capturing prey alive,EU
Beast Call,1,100,3,Electronic tool with pre-recorded sounds to lure beasts,"EU, SS"
Chem Lure,1,125,4,"Programmed, chemical-based tool to lure beasts",EU
Field Dressing Kit,3,300,5,"Kit containing tools skin, dress, and preserve prey",EU
Riding Tack,2,250,4,Saddle and gear for riding a beast,"ST, SS"
Howdah,5,"5,500",2,"Large basket for very large beasts, multiple occupants",ST
Saddlebags,--,25,4,Beast packs; adds 4 to Encumbrance Threshold,SS
Modular Cargo Handling System,--,500,5,Beast pack sytem; adds 6 to Encumbrance Threshold; Silhouette 2+ beasts,SS
